size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
1000,0.15,2,0,0.7,4,3.29495723850127,4.98451451493322,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.15,2,0,1.8,0.1,67.577284206522,117.912563358997,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.15,2,0,1.8,0.6,15.6111243608036,24.7715774738835,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.15,2,0,1.8,1.1,9.91095935380869,15.1952023731654,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.15,2,0,1.8,4,4.17287291790315,5.97644749423956,"n_ 1 _nu_ 1 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.15,5,0,0.7,0.1,149.475096925206,272.074996534848,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,0.15,5,0,0.7,0.6,32.0023824917907,53.4723219860794,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,0.15,5,0,0.7,1.1,19.5067094492629,31.5228630581199,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,0.15,5,0,0.7,4,7.22103702908312,10.826175210491,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,0.15,5,0,1.8,0.1,168.159987939704,293.359909214204,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,0.15,5,0,1.8,0.6,38.0182282637682,60.2301265708409,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,0.15,5,0,1.8,1.1,23.681478523171,36.1956622308971,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,0.15,5,0,1.8,4,9.19853241205649,13.026310212831,"n_ 1 _nu_ 1 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,0.5,-0.5,0,0.7,0.1,0.783666167679213,2.1012579668231,"n_ 1 _nu_ 2 _alpha_ 1 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
